id,requestDate,requestedBy,details
8033,2025-05-15 21:35:52,Dwight Schrute,Upgrade request
1429,2025-05-17 21:35:52,Jim Halpert,Upgrade request
8904,2025-02-17 21:35:52,Michael Scott,Urgent repair
5729,2024-10-13 21:35:52,Dwight Schrute,Urgent repair
6013,2025-04-29 21:35:52,Pam Beesly,Routine maintenance
3543,2024-08-20 21:35:52,Michael Scott,Upgrade request
1901,2025-04-30 21:35:52,Pam Beesly,Urgent repair
9247,2024-12-10 21:35:52,Pam Beesly,Routine maintenance
6983,2025-03-17 21:35:52,Jim Halpert,Urgent repair
1941,2024-08-04 21:35:52,Michael Scott,Upgrade request
